Beta,Multiple,Alpha,Delta,PP
0.848837209302326,0.0348837209302326,0.0232558139534884,0.0581395348837209,0.0348837209302326
0.919642857142857,0.0446428571428571,0,0.0267857142857143,0.00892857142857143
0.654545454545455,0.263636363636364,0.0181818181818182,0.0272727272727273,0.0363636363636364
0.863636363636364,0.0681818181818182,0,0.0227272727272727,0.0454545454545455
0.0686274509803922,0.323529411764706,0.490196078431373,0.0784313725490196,0.0392156862745098
0.0103092783505155,0.11340206185567,0.804123711340206,0.0206185567010309,0.0515463917525773
0,0.0202020202020202,0.878787878787879,0.0303030303030303,0.0707070707070707
0.0740740740740741,0,0.814814814814815,0.0740740740740741,0.037037037037037
0.0588235294117647,0.0294117647058824,0.720588235294118,0.0441176470588235,0.147058823529412
0.388888888888889,0,0.305555555555556,0.111111111111111,0.194444444444444
