name,gene,gene_name,variable,PSI,FDR
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c1_PSI,0.446428571428571,2.89699310563224e-40
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c1_PSI,0.701149425287356,8.85927337865113e-10
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c1_PSI,0.195035460992908,0.787985051978555
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c1_PSI,1,0.0195251629779287
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c1_PSI,0.0200803212851406,6.02107219744981e-10
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c1_PSI,0.299435028248588,0.0315267566666742
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c1_PSI,0,1.5324481393058e-12
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c1_PSI,0.163398692810458,0.101683417173598
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c1_PSI,0.585454545454545,2.61913314789132e-05
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c1_PSI,0,1.29263994940134e-14
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c1_PSI,0.234939759036145,0.0232707850625569
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c1_PSI,0.240694789081886,0.30200331512804
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c1_PSI,0.0900473933649289,1.79294902048364e-14
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c1_PSI,0.0714285714285714,0.00715407052304737
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c1_PSI,0.0852173913043478,9.38585689137978e-05
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c1_PSI,0.0184615384615385,1.02995972732757e-36
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c1_PSI,0.109375,3.32205969467635e-06
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c1_PSI,0.362637362637363,0.638834056462032
CA-9643-5988-6429-6478-12507[INC][99/411],9643//MORF4L2,MORF4L2(exon3),endo_c1_PSI,0.261538461538462,0.297965313228418
CA-55892-3398-3966-4033-4200[INC][13/111][UPT],55892//MYNN,MYNN(exon2),endo_c1_PSI,0.256578947368421,3.12567348558974e-08
CA-6396-3125-3510-3666-6080[INC][1/160][UPT],6396//SEC13,SEC13(exon2),endo_c2_PSI,0.0484210526315789,3.8672104243174e-13
CA-55744-3113-81829-81930-83889[INC][31/86][UPT],55744//C7orf44,C7orf44(exon2),endo_c2_PSI,0.252830188679245,8.5053257055322e-09
CA-8287-3825-10407-10467-11161[INC][2/1][UPT],8287//USP9Y,USP9Y(exon2),endo_c2_PSI,0.409495548961424,5.52365877552026e-32
CA-1915-4150-4516-4700-4804[INC][2/3],1915//EEF1A1,EEF1A1(exon3),endo_c2_PSI,1,0.00144996036784146
CA-26065-52292-56961-57018-57918[INC][24/34],26065//LSM14A,LSM14A(exon10),endo_c2_PSI,0.504178272980501,0.00949814449404265
CA-3344-3159-16905-17047-34545[INC][5/13][UPT],3344//FOXN2,FOXN2(exon2),endo_c2_PSI,0.4373795761079,1.86835364312086e-06
CA-22984-4874-5992-6176-6742[INC][1/37],22984//PDCD11,PDCD11(exon2),endo_c2_PSI,0.0217391304347826,4.08237360736835e-18
CA-6122-8559-8858-9032-9355[INC][1/6],6122//RPL3,RPL3(exon8),endo_c2_PSI,0.281927710843373,6.45876144248861e-07
CA-55012-3412-8576-8704-14684[INC][110/43],55012//PPP2R3C,PPP2R3C(exon2),endo_c2_PSI,0.271739130434783,4.08276755694668e-06
CA-65979-3244-26260-26360-40828[INC][4/76][UPT],65979//PHACTR4,PHACTR4(exon2),endo_c2_PSI,0.00934579439252336,3.48981455220057e-11
CA-155370-3411-4320-4442-5230[INC][29/15][UPT],155370//SBDSP1,SBDSP1(exon2),endo_c2_PSI,0.244332493702771,0.000217300952612048
CA-3735-3110-6225-6405-8964[INC][66/196][UPT],3735//KARS,KARS(exon2),endo_c2_PSI,0.0301624129930394,7.83442700890663e-18
CA-334-68895-70435-70471-73577[INC][39/147],334//APLP2,APLP2(exon14),endo_c2_PSI,0.198757763975155,0.0168097197160221
CA-65056-43246-50428-50449-59898[INC][7/46],65056//GPBP1,GPBP1(exon3),endo_c2_PSI,0.150222222222222,6.50625302056298e-05
CA-51447-25189-25454-25585-26038[INC][14/42],51447//IP6K2,IP6K2(exon3),endo_c2_PSI,0.131386861313869,0.00304766827863307
CA-4345-3156-5874-5949-10833[INC][10/134][UPT],4345//CD200,CD200(exon2),endo_c2_PSI,0.0408839779005525,4.44579589940059e-27
CA-51582-9157-17025-17171-23422[INC][29/820],51582//AZIN1,AZIN1(exon3),endo_c2_PSI,0.113167259786477,6.32282866450742e-47
CA-10772-11891-12024-12126-15740[INC][2/84][DNT],10772//SRSF10,SRSF10(exon6),endo_c2_PSI,0.190184049079755,0.000418238135854214
