,β_enrichment_fold,β/α_enrichment_fold,α_enrichment_fold,δ_enrichment_fold,pp_enrichment_fold
mRNA processing,-0.476222716545321,-0.36532107430206,-0.348506284327158,-0.63172388539208,-0.391233421737935
RNA splicing,-0.454243206550922,-0.260108604903066,-0.314996064680316,-0.611263192747802,-0.192301173396612
tRNA metabolic process,0.139203563297863,0.113980175182242,-0.107232702869895,-0.0281334523858824,-0.00663107494471063
cilium organization,-0.652058796500516,-0.575746013100045,-0.395420591832737,-0.416886612627162,-0.629952119747523
ncRNA metabolic process,-0.849874386450111,-0.821241775031029,-0.529461470420105,-0.969325314022665,-0.669738569415787
cilium assembly,-0.663048551497716,-0.56405573872238,-0.388718547903368,-0.335043842050051,-0.550379220410994
microtubule organizing center part,0.501865478205453,0.371166211490892,-0.100530658940526,0.329928668888981,0.00663107494471122
nuclear speck,-0.421273941559322,-1,-0.583077821855053,-0.856791504479137,-0.457544171185043
ciliary basal body,0.831558128121445,0.7452549915762,0.29488993289221,0.708451482808122,0.0729418243918187
centrosome,-0.827894876455712,-0.716029305632036,-0.522759426490737,-0.386195573660745,-0.696262869194631
centriole,0.205142093281061,0.721874442820869,-0.0804245271524211,0.503844556365343,0.576903520189837
centriolar satellite,2,2,2,2,2
