p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
1.17314710127618e-106,1.96909103570892,1,0.76,2.72439951329367e-102,Beta,IGF2
2.10857077274721e-106,1.95950693894282,1,0.698,4.89673390555085e-102,Beta,INS
4.32735645934394e-82,1.14617054908855,0.955,0.343,1.00494199055344e-77,Beta,ADCYAP1
1.37089817716764e-79,1.417195381536,0.994,0.467,3.18363683683641e-75,Beta,HADH
2.95167724921319e-79,0.953652389124599,0.981,0.39,6.8546800758478e-75,Beta,NPTX2
5.45612189302707e-79,2.04155685241249,0.975,0.597,1.26707518721768e-74,Beta,IAPP
1.33952541182989e-75,1.38089229654583,0.997,0.666,3.11077986389255e-71,Beta,MEG3
4.30740328224044e-74,1.63305419752506,0.99,0.762,1.0003082642347e-69,Beta,PFKFB2
1.00934559604228e-71,1.30945528741648,0.994,0.739,2.34400327768899e-67,Beta,SORL1
1.9124612141275e-69,0.7971985834219,1,0.983,4.44130867756829e-65,Beta,TSPYL1
1.53905149151267e-68,0.622881957852484,1,1,3.57413927873986e-64,Beta,RPS3
7.47785019743761e-68,0.814828571705936,0.987,0.452,1.73658115135094e-63,Beta,TIMP2
1.22397706871158e-66,1.01458614316053,0.981,0.512,2.8424419466689e-62,Beta,GSN
3.82099518881718e-66,0.611271552923514,1,1,8.87349712699015e-62,Beta,RPS6
4.28357638836681e-66,1.03024615586943,0.914,0.349,9.94774944670424e-62,Beta,CASR
5.75355577828137e-64,0.672601178917591,1,0.994,1.33614825839028e-59,Beta,RPL3
1.40928007438154e-62,1.02459480932351,0.994,0.762,3.27277111673624e-58,Beta,PCSK1
1.49015170592105e-60,0.859619566843997,0.911,0.338,3.46057930666045e-56,Beta,SCD5
2.52885530593522e-59,0.776534070501864,1,0.998,5.87276067697336e-55,Beta,EIF4A2
4.6386175406208e-59,1.0841216425739,0.987,0.724,1.07722615145837e-54,Beta,SYNE2
2.23071034714443e-58,0.591816294363046,0.997,0.998,5.18037863917352e-54,Beta,RPL23
1.16373609009551e-57,1.05745960912511,0.994,0.936,2.70254432202881e-53,Beta,ABCC8
2.12731308822311e-57,0.846722896851859,0.975,0.619,4.94025918478052e-53,Beta,SYT13
1.1234729602957e-54,1.3185638918998,0.962,0.713,2.6090412556947e-50,Beta,G6PC2
3.6679208064156e-54,0.869963948234667,1,0.991,8.51801248873894e-50,Beta,ERO1LB
4.19546256986941e-53,0.754071523995918,0.943,0.428,9.74312272600772e-49,Beta,PRSS23
4.30977160944248e-53,0.728291082283737,1,0.983,1.00085826086083e-48,Beta,PTEN
6.38167869786747e-52,0.528331150808417,1,1,1.48201724400576e-47,Beta,HSP90AB1
2.24434513212006e-51,0.559571053696007,1,1,5.21204270032243e-47,Beta,RPL5
8.55763717985797e-51,0.49576543341121,1,0.991,1.98734008227842e-46,Beta,RPS23
3.78190912797098e-50,1.04628424679026,0.815,0.306,8.78272756788701e-46,Beta,BMP5
1.71460992013279e-48,0.773086032026281,0.981,0.745,3.98183861752437e-44,Beta,UCHL1
3.71372947142726e-48,0.693229051627266,1,0.983,8.62439395149552e-44,Beta,SCGN
1.18785892596491e-47,0.48273115428884,0.997,0.996,2.75856478376831e-43,Beta,RPL24
2.32474067438489e-47,0.498846880597782,0.812,0.321,5.39874526812403e-43,Beta,ROBO1
5.13006864114497e-47,0.945887158904491,0.869,0.499,1.1913558405331e-42,Beta,TBC1D24
3.4739093576848e-46,0.530407233178746,0.777,0.298,8.06745970135141e-42,Beta,TGFBR3
9.5355030237587e-46,0.614372354199675,0.573,0.109,2.21442986720748e-41,Beta,LRRTM3
