,up,down
1,DPAGT1,AMN1
2,EFNA1,ELAVL4
3,AMZ2P1,ALAS1
4,BPTF,ETV1
5,USP33,FDPS
6,PHF3,SEC31A
7,SEZ6L,DCUN1D4
8,SUMF2,CLCC1
9,LETMD1,SPECC1L
10,NECAP1,MACF1
11,TCTN3,R3HDM1
12,SLC17A5,ZMYND8
13,STAU2,FUCA2
14,LOC283587,MFSD8
15,FRYL,CBY1
16,RPL7L1,ARMC8
17,TRIQK,DPCD
18,RANGRF,SPATS2L
19,GSTT1,HACL1
20,BAZ2B,ZBTB20
21,HGD,PLDN
22,HPS1,SERGEF
23,FOXN2,SEZ6L2
24,FAM221A,R3HCC1L
25,ANKRD36,RBMX
26,SNHG5,ZNF638
27,KTN1,GOLGB1
28,LLGL2,ZNF326
29,FAM45A,FRG1B
30,MEF2A,CCDC66
31,ATXN3,ANXA2
32,CD200,HNRNPA1
33,ASNS,HSF2
34,SUZ12P1,ARL16
35,MYO1B,ZBTB8OS
36,NEK1,SKA2
37,NKTR,LOC375190
38,C6orf48,ANKRD36
39,IRAK4,ABLIM1
40,WAC,METTL10
41,IP6K2,ASPH
42,ARID4B,PPP1R12A
43,TM7SF3,ORC4
44,POLB,P2RX4
45,PON3,P4HA1
46,AFTPH,EXOSC3
47,APTX,APIP
48,C3orf75,SH3GLB1
49,PPP2R3C,MAPKAPK5-AS1
50,FANCL,UCHL5
51,PPP6R3,ANAPC5
52,ENOSF1,DPH5
53,ANKRD10,NOL8
54,EDEM2,PRPF38B
55,C7orf44,LARP1B
56,NGLY1,RBM23
57,DNM1L,MEG3
58,FSTL5,JPX
59,CMC2,FAM48A
60,CCNL1,VEZT
61,LYRM1,TASP1
62,PSMD9,EDEM2
63,KIAA1191,C7orf44
64,SNX14,C6orf70
65,PTK2,PLGRKT
66,RAD1,ARPC1B
67,PEX19,YAF2
68,GAS5,SDR39U1
69,SRPK2,LYRM1
70,TTC3,METTL14
71,ZNF146,PTPN3
72,HMGN5,PRUNE
73,TCTN1,GPBP1L1
74,GEMIN7,FAM204A
75,ZC3H14,RABL5
76,C5orf44,MRPS5
77,CEP70,MPPE1
78,CALU,SNRPA1
79,FIP1L1,TROVE2
80,CAMK2G,LOC728190
81,CAST,WARS
82,DNAL1,ZNF195
83,TM2D1,TMEM106C
84,AKAP9,DHRS12
85,ST3GAL6,ST7
86,IVNS1ABP,DHDDS
87,C16orf13,FAM188A
88,B4GALT4,C4orf29
89,DPM1,RUFY1
90,MTMR2,IFT88
91,AP1G2,FIP1L1
92,SLC25A14,CCNL2
93,MLIP,DENND4A
94,BTF3L4,RRAGB
95,FAM114A1,ANAPC10
96,DMKN,N4BP2L2
97,ARHGAP12,TMEM222
98,CD47,RPAIN
99,IQCB1,NTPCR
100,BCLAF1,EFCAB2
101,ZMYND11,APOPT1
102,COPS5,SORBS2
103,C1orf85,CBR4
104,GSTO2,CFLAR
105,MRPL55,RAB7L1
106,KLF6,P4HA2
107,POC5,SLC25A14
108,CSNK2A1,IFT20
109,NA,MLIP
110,NA,PAPSS2
111,NA,TEX30
112,NA,MORF4L2
113,NA,BCLAF1
114,NA,PAPOLA
115,NA,TCERG1
116,NA,SMPDL3A
117,NA,RPP14
118,NA,HHLA3
119,NA,OMA1
120,NA,C6orf72
121,NA,DRAM2
122,NA,GNPDA2
123,NA,CTSB
124,NA,MARVELD2
