ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0008380	RNA splicing	61/938	469/18670	8.46E-12	4.07E-08	3.91E-08	U2AF1L4/ACIN1/SETX/JMJD6/SRRM2/RBFOX2/LSM4/ZNF638/SREK1IP1/TRA2A/HNRNPF/HNRNPH1/HNRNPK/ZBTB8OS/MBNL1/NONO/NUP98/LSM7/LUC7L3/PPIL3/ESRP1/CWC25/GEMIN8/MAGOHB/PRPF38B/CWF19L1/LUC7L/MBNL3/ZMAT5/CLK4/RBM3/SRSF2/SRSF6/UPF3B/SNRPN/SRPK2/SUPT6H/TMBIM6/TIA1/U2AF1/WDR77/DHX40/GEMIN6/TSEN2/FIP1L1/MBNL2/RBM5/SRRM1/PPIE/KHDRBS3/FAM172A/NSRP1/GEMIN2/THOC5/PRPF3/ZRANB2/PTBP3/PAPOLA/DDX42/CLK1/DHX9	61
BP	GO:0060271	cilium assembly	48/938	366/18670	1.12E-09	2.68E-06	2.58E-06	RSPH9/DZIP1/CEP164/KIFAP3/CLUAP1/TCTN3/NPHP3/BBS9/CCDC66/SNX10/ABLIM1/MAP4/NEK1/ASAP1/WDPCP/PCM1/TBC1D7/SPATA6/AHI1/HAUS2/WDR11/CDK5RAP2/IFT122/PRKAR2B/IFT46/ODF2L/CC2D2A/SPAG16/TCTN1/CEP63/CEP70/IFT88/DNAL1/NME5/AKAP9/FAM161A/TMEM107/OFD1/IFT20/BBIP1/ATG5/CEP41/IQCB1/CEP57/CCP110/SDCCAG8/TTC8/CYLD	48
BP	GO:0044782	cilium organization	49/938	384/18670	1.90E-09	3.05E-06	2.93E-06	RSPH9/DZIP1/CEP164/KIFAP3/CLUAP1/TCTN3/NPHP3/BBS9/CCDC66/SNX10/ABLIM1/MAP4/NEK1/ASAP1/WDPCP/PCM1/TBC1D7/PKD2/SPATA6/AHI1/HAUS2/WDR11/CDK5RAP2/IFT122/PRKAR2B/IFT46/ODF2L/CC2D2A/SPAG16/TCTN1/CEP63/CEP70/IFT88/DNAL1/NME5/AKAP9/FAM161A/TMEM107/OFD1/IFT20/BBIP1/ATG5/CEP41/IQCB1/CEP57/CCP110/SDCCAG8/TTC8/CYLD	49
BP	GO:0043484	regulation of RNA splicing	25/938	135/18670	1.35E-08	1.63E-05	1.57E-05	SETX/JMJD6/RBFOX2/TRA2A/HNRNPF/HNRNPH1/HNRNPK/MBNL1/NUP98/ESRP1/MBNL3/CLK4/RBM3/SRSF2/SRSF6/SRPK2/TMBIM6/TIA1/MBNL2/RBM5/KHDRBS3/FAM172A/NSRP1/PTBP3/CLK1	25
BP	GO:1903311	regulation of mRNA metabolic process	42/938	324/18670	1.74E-08	1.67E-05	1.61E-05	DCP2/PSME4/JMJD6/PUM2/RBFOX2/TNRC6A/TRA2A/HNRNPK/MBNL1/NUP98/MYEF2/EXOSC3/EXOSC1/YTHDF2/RBM23/MBNL3/DCP1A/RBM3/SRSF2/SRSF6/SRPK2/SUPT6H/TIA1/FASTKD3/FASTKD1/SLTM/ZC3H14/FXR1/MBNL2/RBM5/KHDRBS3/FAM172A/NSRP1/PABPC4/ANGEL2/TBRG4/SAFB2/PUM1/PSMD6/PAPOLA/EXOSC8/DHX9	42
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	46/938	379/18670	2.85E-08	1.96E-05	1.88E-05	U2AF1L4/SETX/JMJD6/SRRM2/RBFOX2/LSM4/TRA2A/HNRNPF/HNRNPH1/HNRNPK/MBNL1/NUP98/LSM7/LUC7L3/PPIL3/CWC25/GEMIN8/MAGOHB/CWF19L1/LUC7L/MBNL3/ZMAT5/RBM3/SRSF2/SRSF6/UPF3B/SNRPN/SRPK2/TIA1/U2AF1/WDR77/DHX40/GEMIN6/FIP1L1/MBNL2/RBM5/SRRM1/PPIE/KHDRBS3/FAM172A/NSRP1/GEMIN2/PRPF3/PAPOLA/DDX42/DHX9	46
BP	GO:0000398	"mRNA splicing, via spliceosome"	46/938	379/18670	2.85E-08	1.96E-05	1.88E-05	U2AF1L4/SETX/JMJD6/SRRM2/RBFOX2/LSM4/TRA2A/HNRNPF/HNRNPH1/HNRNPK/MBNL1/NUP98/LSM7/LUC7L3/PPIL3/CWC25/GEMIN8/MAGOHB/CWF19L1/LUC7L/MBNL3/ZMAT5/RBM3/SRSF2/SRSF6/UPF3B/SNRPN/SRPK2/TIA1/U2AF1/WDR77/DHX40/GEMIN6/FIP1L1/MBNL2/RBM5/SRRM1/PPIE/KHDRBS3/FAM172A/NSRP1/GEMIN2/PRPF3/PAPOLA/DDX42/DHX9	46
BP	GO:0000375	"RNA splicing, via transesterification reactions"	46/938	382/18670	3.63E-08	2.18E-05	2.10E-05	U2AF1L4/SETX/JMJD6/SRRM2/RBFOX2/LSM4/TRA2A/HNRNPF/HNRNPH1/HNRNPK/MBNL1/NUP98/LSM7/LUC7L3/PPIL3/CWC25/GEMIN8/MAGOHB/CWF19L1/LUC7L/MBNL3/ZMAT5/RBM3/SRSF2/SRSF6/UPF3B/SNRPN/SRPK2/TIA1/U2AF1/WDR77/DHX40/GEMIN6/FIP1L1/MBNL2/RBM5/SRRM1/PPIE/KHDRBS3/FAM172A/NSRP1/GEMIN2/PRPF3/PAPOLA/DDX42/DHX9	46
BP	GO:0050684	regulation of mRNA processing	23/938	137/18670	3.28E-07	0.00017534	0.000168785	JMJD6/RBFOX2/TRA2A/HNRNPK/MBNL1/NUP98/MBNL3/RBM3/SRSF2/SRSF6/SRPK2/SUPT6H/TIA1/SLTM/ZC3H14/MBNL2/RBM5/KHDRBS3/FAM172A/NSRP1/SAFB2/PAPOLA/DHX9	23
BP	GO:0097711	ciliary basal body-plasma membrane docking	18/938	95/18670	1.01E-06	0.000484245	0.00046614	CEP164/TCTN3/PCM1/AHI1/HAUS2/CDK5RAP2/PRKAR2B/CC2D2A/TCTN1/CEP63/CEP70/AKAP9/OFD1/CEP41/IQCB1/CEP57/CCP110/SDCCAG8	18
