"","active.ident[rownames(active.ident) %in% T2D, ]"
"SRR_ALL:SRR3617192.bam","2"
"SRR_ALL:SRR3617218.bam","3"
"SRR_ALL:SRR3617220.bam","3"
"SRR_ALL:SRR3617221.bam","1"
"SRR_ALL:SRR3617225.bam","1"
"SRR_ALL:SRR3617226.bam","1"
"SRR_ALL:SRR3617227.bam","1"
"SRR_ALL:SRR3617229.bam","1"
"SRR_ALL:SRR3617239.bam","1"
"SRR_ALL:SRR3617240.bam","1"
"SRR_ALL:SRR3617244.bam","1"
"SRR_ALL:SRR3617246.bam","1"
"SRR_ALL:SRR3617248.bam","1"
"SRR_ALL:SRR3617258.bam","10"
"SRR_ALL:SRR3617268.bam","1"
"SRR_ALL:SRR3617270.bam","1"
"SRR_ALL:SRR3617271.bam","2"
"SRR_ALL:SRR3617274.bam","10"
"SRR_ALL:SRR3617284.bam","1"
"SRR_ALL:SRR3617287.bam","1"
"SRR_ALL:SRR3617290.bam","2"
"SRR_ALL:SRR3617291.bam","1"
"SRR_ALL:SRR3617308.bam","2"
"SRR_ALL:SRR3617314.bam","1"
"SRR_ALL:SRR3617316.bam","1"
"SRR_ALL:SRR3617317.bam","1"
"SRR_ALL:SRR3617322.bam","3"
"SRR_ALL:SRR3617326.bam","10"
"SRR_ALL:SRR3617337.bam","3"
"SRR_ALL:SRR3617340.bam","3"
"SRR_ALL:SRR3617345.bam","3"
"SRR_ALL:SRR3617348.bam","2"
"SRR_ALL:SRR3617350.bam","1"
"SRR_ALL:SRR3617351.bam","1"
"SRR_ALL:SRR3617363.bam","1"
"SRR_ALL:SRR3617364.bam","2"
"SRR_ALL:SRR3617369.bam","3"
"SRR_ALL:SRR3617371.bam","3"
"SRR_ALL:SRR3617374.bam","1"
"SRR_ALL:SRR3617383.bam","3"
"SRR_ALL:SRR3617396.bam","2"
"SRR_ALL:SRR3617399.bam","2"
"SRR_ALL:SRR3617401.bam","10"
"SRR_ALL:SRR3617402.bam","1"
"SRR_ALL:SRR3617403.bam","1"
"SRR_ALL:SRR3617404.bam","2"
"SRR_ALL:SRR3617411.bam","1"
"SRR_ALL:SRR3617413.bam","2"
"SRR_ALL:SRR3617414.bam","1"
"SRR_ALL:SRR3617415.bam","1"
"SRR_ALL:SRR3617419.bam","1"
"SRR_ALL:SRR3617422.bam","1"
"SRR_ALL:SRR3617424.bam","1"
"SRR_ALL:SRR3617427.bam","1"
"SRR_ALL:SRR3617429.bam","2"
"SRR_ALL:SRR3617430.bam","10"
"SRR_ALL:SRR3617431.bam","1"
"SRR_ALL:SRR3617432.bam","1"
"SRR_ALL:SRR3617434.bam","1"
"SRR_ALL:SRR3617436.bam","1"
"SRR_ALL:SRR3617437.bam","2"
"SRR_ALL:SRR3617438.bam","10"
"SRR_ALL:SRR3617440.bam","1"
