"","active.ident[rownames(active.ident) %in% ND, ]"
"SRR_ALL:SRR3617571.bam","3"
"SRR_ALL:SRR3617573.bam","1"
"SRR_ALL:SRR3617574.bam","2"
"SRR_ALL:SRR3617580.bam","3"
"SRR_ALL:SRR3617583.bam","2"
"SRR_ALL:SRR3617590.bam","4"
"SRR_ALL:SRR3617594.bam","3"
"SRR_ALL:SRR3617612.bam","5"
"SRR_ALL:SRR3617617.bam","3"
"SRR_ALL:SRR3617628.bam","5"
"SRR_ALL:SRR3617630.bam","2"
"SRR_ALL:SRR3617637.bam","2"
"SRR_ALL:SRR3617641.bam","1"
"SRR_ALL:SRR3617642.bam","1"
"SRR_ALL:SRR3617647.bam","9"
"SRR_ALL:SRR3617648.bam","2"
"SRR_ALL:SRR3617650.bam","2"
"SRR_ALL:SRR3617652.bam","2"
"SRR_ALL:SRR3617664.bam","2"
"SRR_ALL:SRR3617667.bam","1"
"SRR_ALL:SRR3617668.bam","2"
"SRR_ALL:SRR3617673.bam","1"
"SRR_ALL:SRR3617675.bam","4"
"SRR_ALL:SRR3617676.bam","2"
"SRR_ALL:SRR3617683.bam","3"
"SRR_ALL:SRR3617684.bam","2"
"SRR_ALL:SRR3617685.bam","4"
"SRR_ALL:SRR3617693.bam","2"
"SRR_ALL:SRR3617695.bam","2"
"SRR_ALL:SRR3617698.bam","10"
"SRR_ALL:SRR3617701.bam","2"
"SRR_ALL:SRR3617703.bam","10"
"SRR_ALL:SRR3617706.bam","3"
"SRR_ALL:SRR3617707.bam","1"
"SRR_ALL:SRR3617708.bam","3"
"SRR_ALL:SRR3617713.bam","1"
"SRR_ALL:SRR3617715.bam","5"
"SRR_ALL:SRR3617717.bam","2"
"SRR_ALL:SRR3617720.bam","2"
"SRR_ALL:SRR3617729.bam","4"
"SRR_ALL:SRR3617735.bam","4"
"SRR_ALL:SRR3617738.bam","3"
"SRR_ALL:SRR3617747.bam","4"
"SRR_ALL:SRR3617751.bam","6"
"SRR_ALL:SRR3617753.bam","3"
"SRR_ALL:SRR3617755.bam","3"
"SRR_ALL:SRR3617756.bam","3"
"SRR_ALL:SRR3617758.bam","3"
"SRR_ALL:SRR3617761.bam","1"
"SRR_ALL:SRR3617766.bam","4"
"SRR_ALL:SRR3617774.bam","4"
"SRR_ALL:SRR3617775.bam","5"
"SRR_ALL:SRR3617779.bam","10"
"SRR_ALL:SRR3617780.bam","3"
"SRR_ALL:SRR3617785.bam","3"
"SRR_ALL:SRR3617789.bam","2"
"SRR_ALL:SRR3617869.bam","1"
"SRR_ALL:SRR3617872.bam","3"
"SRR_ALL:SRR3617875.bam","3"
"SRR_ALL:SRR3617881.bam","3"
"SRR_ALL:SRR3617885.bam","2"
"SRR_ALL:SRR3617896.bam","3"
"SRR_ALL:SRR3617908.bam","3"
"SRR_ALL:SRR3617924.bam","3"
"SRR_ALL:SRR3617926.bam","3"
"SRR_ALL:SRR3617934.bam","8"
"SRR_ALL:SRR3617942.bam","4"
"SRR_ALL:SRR3617944.bam","4"
"SRR_ALL:SRR3617945.bam","1"
"SRR_ALL:SRR3617947.bam","4"
"SRR_ALL:SRR3617948.bam","2"
"SRR_ALL:SRR3617949.bam","2"
"SRR_ALL:SRR3617950.bam","2"
"SRR_ALL:SRR3617952.bam","2"
"SRR_ALL:SRR3617953.bam","4"
"SRR_ALL:SRR3617955.bam","1"
"SRR_ALL:SRR3617958.bam","3"
"SRR_ALL:SRR3617959.bam","2"
"SRR_ALL:SRR3617960.bam","3"
"SRR_ALL:SRR3617961.bam","3"
"SRR_ALL:SRR3617965.bam","3"
"SRR_ALL:SRR3617968.bam","5"
"SRR_ALL:SRR3617969.bam","2"
"SRR_ALL:SRR3617971.bam","2"
"SRR_ALL:SRR3617978.bam","2"
"SRR_ALL:SRR3617980.bam","3"
"SRR_ALL:SRR3617982.bam","3"
"SRR_ALL:SRR3617983.bam","3"
"SRR_ALL:SRR3617984.bam","2"
"SRR_ALL:SRR3617985.bam","4"
"SRR_ALL:SRR3617987.bam","5"
"SRR_ALL:SRR3617989.bam","2"
"SRR_ALL:SRR3617991.bam","2"
"SRR_ALL:SRR3617992.bam","2"
"SRR_ALL:SRR3617995.bam","2"
"SRR_ALL:SRR3617997.bam","4"
"SRR_ALL:SRR3617998.bam","2"
"SRR_ALL:SRR3617999.bam","4"
"SRR_ALL:SRR3618000.bam","3"
"SRR_ALL:SRR3618001.bam","4"
"SRR_ALL:SRR3618003.bam","1"
"SRR_ALL:SRR3618004.bam","2"
"SRR_ALL:SRR3618005.bam","2"
"SRR_ALL:SRR3618007.bam","3"
"SRR_ALL:SRR3618009.bam","4"
"SRR_ALL:SRR3618010.bam","2"
"SRR_ALL:SRR3618014.bam","3"
"SRR_ALL:SRR3618016.bam","1"
"SRR_ALL:SRR3618017.bam","1"
"SRR_ALL:SRR3618018.bam","1"
"SRR_ALL:SRR3618019.bam","2"
"SRR_ALL:SRR3618021.bam","4"
"SRR_ALL:SRR3618023.bam","3"
"SRR_ALL:SRR3618030.bam","3"
"SRR_ALL:SRR3618031.bam","3"
"SRR_ALL:SRR3618032.bam","4"
"SRR_ALL:SRR3618033.bam","2"
"SRR_ALL:SRR3618034.bam","4"
"SRR_ALL:SRR3618036.bam","4"
"SRR_ALL:SRR3618039.bam","4"
"SRR_ALL:SRR3618041.bam","1"
"SRR_ALL:SRR3618043.bam","4"
"SRR_ALL:SRR3618051.bam","2"
"SRR_ALL:SRR3618056.bam","3"
"SRR_ALL:SRR3618060.bam","2"
"SRR_ALL:SRR3618061.bam","2"
"SRR_ALL:SRR3618063.bam","3"
"SRR_ALL:SRR3618064.bam","4"
"SRR_ALL:SRR3618065.bam","2"
"SRR_ALL:SRR3618068.bam","2"
"SRR_ALL:SRR3618070.bam","4"
"SRR_ALL:SRR3618072.bam","4"
"SRR_ALL:SRR3618074.bam","2"
"SRR_ALL:SRR3618075.bam","4"
"SRR_ALL:SRR3618076.bam","1"
"SRR_ALL:SRR3618077.bam","2"
"SRR_ALL:SRR3618082.bam","4"
"SRR_ALL:SRR3618085.bam","4"
"SRR_ALL:SRR3618087.bam","4"
"SRR_ALL:SRR3618091.bam","4"
"SRR_ALL:SRR3618096.bam","2"
"SRR_ALL:SRR3618097.bam","3"
"SRR_ALL:SRR3618098.bam","4"
"SRR_ALL:SRR3618099.bam","2"
"SRR_ALL:SRR3618101.bam","2"
"SRR_ALL:SRR3618102.bam","4"
"SRR_ALL:SRR3618104.bam","4"
"SRR_ALL:SRR3618106.bam","5"
"SRR_ALL:SRR3618110.bam","10"
"SRR_ALL:SRR3618113.bam","3"
"SRR_ALL:SRR3618115.bam","2"
"SRR_ALL:SRR3618121.bam","4"
"SRR_ALL:SRR3618128.bam","2"
"SRR_ALL:SRR3618131.bam","3"
"SRR_ALL:SRR3618132.bam","10"
"SRR_ALL:SRR3618133.bam","2"
"SRR_ALL:SRR3618134.bam","2"
"SRR_ALL:SRR3618136.bam","2"
"SRR_ALL:SRR3618137.bam","3"
"SRR_ALL:SRR3618138.bam","4"
"SRR_ALL:SRR3618146.bam","2"
"SRR_ALL:SRR3618150.bam","2"
"SRR_ALL:SRR3618156.bam","2"
"SRR_ALL:SRR3618160.bam","3"
"SRR_ALL:SRR3618172.bam","3"
"SRR_ALL:SRR3618184.bam","3"
"SRR_ALL:SRR3618186.bam","2"
"SRR_ALL:SRR3618188.bam","2"
"SRR_ALL:SRR3618190.bam","9"
"SRR_ALL:SRR3618194.bam","2"
"SRR_ALL:SRR3618197.bam","2"
"SRR_ALL:SRR3618202.bam","2"
"SRR_ALL:SRR3618211.bam","2"
"SRR_ALL:SRR3618232.bam","2"
"SRR_ALL:SRR3618236.bam","2"
"SRR_ALL:SRR3618240.bam","2"
"SRR_ALL:SRR3618246.bam","2"
"SRR_ALL:SRR3618256.bam","1"
"SRR_ALL:SRR3618263.bam","2"
"SRR_ALL:SRR3618270.bam","1"
"SRR_ALL:SRR3618284.bam","2"
"SRR_ALL:SRR3618292.bam","3"
"SRR_ALL:SRR3618293.bam","1"
"SRR_ALL:SRR3618296.bam","2"
"SRR_ALL:SRR3618314.bam","2"
"SRR_ALL:SRR3618324.bam","2"
"SRR_ALL:SRR3618328.bam","3"
"SRR_ALL:SRR3618330.bam","1"
"SRR_ALL:SRR3618332.bam","2"
"SRR_ALL:SRR3618336.bam","1"
"SRR_ALL:SRR3618340.bam","1"
"SRR_ALL:SRR3618342.bam","3"
"SRR_ALL:SRR3617600.bam","6"
"SRR_ALL:SRR3617603.bam","5"
"SRR_ALL:SRR3617635.bam","5"
"SRR_ALL:SRR3617646.bam","5"
"SRR_ALL:SRR3617687.bam","3"
"SRR_ALL:SRR3617724.bam","8"
"SRR_ALL:SRR3617741.bam","7"
"SRR_ALL:SRR3617743.bam","7"
"SRR_ALL:SRR3617745.bam","7"
"SRR_ALL:SRR3617750.bam","6"
"SRR_ALL:SRR3617781.bam","3"
"SRR_ALL:SRR3617900.bam","10"
"SRR_ALL:SRR3617970.bam","9"
"SRR_ALL:SRR3618006.bam","4"
"SRR_ALL:SRR3618013.bam","3"
"SRR_ALL:SRR3618035.bam","7"
"SRR_ALL:SRR3618045.bam","9"
"SRR_ALL:SRR3618073.bam","5"
"SRR_ALL:SRR3618089.bam","1"
"SRR_ALL:SRR3618120.bam","10"
"SRR_ALL:SRR3618135.bam","7"
"SRR_ALL:SRR3618140.bam","6"
"SRR_ALL:SRR3618144.bam","3"
"SRR_ALL:SRR3618151.bam","9"
"SRR_ALL:SRR3618153.bam","6"
"SRR_ALL:SRR3618154.bam","10"
"SRR_ALL:SRR3618157.bam","4"
"SRR_ALL:SRR3618174.bam","9"
"SRR_ALL:SRR3618177.bam","9"
"SRR_ALL:SRR3618178.bam","9"
"SRR_ALL:SRR3618279.bam","7"
"SRR_ALL:SRR3618286.bam","10"
"SRR_ALL:SRR3618310.bam","7"
"SRR_ALL:SRR3618320.bam","9"
"SRR_ALL:SRR3617575.bam","7"
"SRR_ALL:SRR3617578.bam","6"
"SRR_ALL:SRR3617579.bam","6"
"SRR_ALL:SRR3617581.bam","8"
"SRR_ALL:SRR3617582.bam","7"
"SRR_ALL:SRR3617588.bam","6"
"SRR_ALL:SRR3617592.bam","5"
"SRR_ALL:SRR3617595.bam","5"
"SRR_ALL:SRR3617596.bam","6"
"SRR_ALL:SRR3617604.bam","5"
"SRR_ALL:SRR3617605.bam","5"
"SRR_ALL:SRR3617606.bam","6"
