gene chrom chromStart chromEnd name celltype β.dI β/α.dI α.dI δ.dI PP.dI
1 10006//ABI1 chr10 27040526 27054246 CA-10006-98870-108346-108433-112304[INC][3/18] β 0.118173802832424 -0.226379609007671 -0.104393214441061 0.183299389002037 0.172413793103448
2 1912//PHC2 chr1 33789226 33794746 CA-1912-49724-52632-52799-53574[INC][1/133][DNT] β 0.131182434324763 -0.0093114241001565 -0.0941271118262269 -0.0690265486725664 -0.0797546012269939
3 1915//EEF1A1 chr6 74228654 74229778 CA-1915-4150-4516-4700-4804[INC][2/3] β 0.20995127150906 0.206088992974239 -0.307106399685905 0.0751780532840939 0.0654121863799283
4 196294//IMMP1L chr11 31491304 31531120 CA-196294-3104-38836-38899-42825[INC][2/1][UPT] β 0.222475488665459 0.292865362485616 -0.397316227830601 -0.0191874497184232 0.464321608040201
5 196294//IMMP1L chr11 31477806 31484851 CA-196294-49451-51908-51997-56236[INC][14/2] β 0.101153336770329 -0.0479275231597752 -0.0458081963802788 -0.280519698497431 0.139997294833061
6 196951//C15orf33 chr15 49880212 49903464 CA-196951-12707-33914-34146-35838[INC][17/1] β 0.120455928207468 0.0612542937655552 -0.164369343712423 0.053479488457067 -0.141597088417898
7 1981//EIF4G1 chr3 184032393 184035603 CA-1981-3180-5826-6003-6222[INC][11/6][UPT] β 0.148571428571429 -0.175518925518926 -0.133674032657277 0.0698924731182796 -0.0925434718538167
8 1996//ELAVL4 chr1 50575512 50610868 CA-1996-64951-96758-96845-99943[INC][2/21][UPT] β 0.262047291633537 0.173564617569487 -0.300760171727914 -0.332122884741085 0.297435897435897
9 199746//U2AF1L4 chr19 36233427 36234804 CA-199746-4627-5090-5281-5632[INC][1/65][DNT] β 0.163386780363284 -0.135571338879297 -0.0462749706227967 -0.256198038532384 -0.0973278552274616
10 199746//U2AF1L4 chr19 36233427 36234804 CA-199746-4627-5230-5281-5632[INC][1/65][DNT] β 0.116698192517865 -0.0782913165266106 -0.0445861032692833 -0.14084341119517 -0.0403379789297003
11 201283//AMZ2P1 chr17 62969359 62971239 CA-201283-3635-3944-4031-5068[INC][2/3][UPT] β 0.194079774005425 0.275996112730807 -0.330090851300525 0.336615935541629 0.353051643192488
12 202243//CCDC125 chr5 68581163 68590726 CA-202243-28791-31221-31396-38116[INC][2/2] β 0.122224248972204 -0.109370916557775 0.0819327731092437 -0.414081237911025 0.0681222707423581
13 2140//EYA3 chr1 28384504 28415141 CA-2140-3114-11186-11306-33543[INC][1/46][UPT] β 0.138387915325533 -0.114502169173987 -0.122851933744521 -0.166420175916556 0.744622425629291
14 2186//BPTF chr17 65870932 65888149 CA-2186-52357-52892-53081-69180[INC][2/4] β 0.221021554775641 -0.313866687036047 -0.0975479252933185 0.123321123321123 0.0518475963807219
15 2186//BPTF chr17 65870932 65888149 CA-2186-52357-63464-63653-69180[INC][1/4] β 0.109770036117588 -0.186664423777826 -0.0685896277092161 0.0312514056947505 0.0718444900113024
16 220729//LOC220729 chr3 197348574 197350252 CA-220729-7662-8551-8695-9013[INC][14/41] β 0.238924411667883 0.000774835836548776 -0.217670728412791 -0.150982013093508 0.795013850415512
17 221037//JMJD1C chr10 64976966 65024523 CA-221037-204312-248979-249085-251631[INC][12/4] β 0.119618568320086 -0.00070834273996645 -0.0913135790924824 0.0127045703862072 -0.219477206509807
18 221143//N6AMT2 chr13 21305979 21331755 CA-221143-19464-39113-39196-44797[INC][27/7] β 0.349082905355833 0.0619778312492604 -0.331728694266459 0.297580353918382 -0.584475162277604
19 221264//AKD1 chr6 109954386 109965890 CA-221264-49599-52596-52695-60889[INC][8/1] β 0.106866791744841 0.112914608327452 -0.150709997034296 0.112280701754386 0.112755461592671
20 221477//C6orf89 chr6 36853730 36867408 CA-221477-3165-11640-11740-16562[INC][57/119][UPT] β 0.305995077355837 -0.343937575030012 -0.213803107226018 0.424474187380497 -0.0856236786469344
