ensemble,symbol,gene,chrom,chromStart,chromEnd,name,score,strand,type,isoformIDs,coverage,I_g1.group1.,I_g2.group2.,dI_g1_vs_g2,pvalue,FDR,law.beta_c4_ratio,law.beta_nc4_ratio
10005,ACOT8,10005//ACOT8,chr20,44477088,44483930,CA-10005-5251-6425-6487-11734[INC][3/130],0,-,cass,INC/SKIP,40,0,0.166377816291161,-0.166377816291161,3.7889203448155e-10,2.10307946344541e-09,0.236842105263158,0.112903225806452
10006,ABI1,10006//ABI1,chr10,27040526,27048166,CA-10006-105026-108346-108433-112304[INC][34/21],0,-,cass,INC/SKIP,111,0.656716417910448,0.431053203040174,0.225663214870274,0.00346680368629581,0.00644620604562251,0.315789473684211,0.229838709677419
10010,TANK,10010//TANK,chr2,162016938,162036271,CA-10010-26532-27330-27458-45659[INC][1/69][UPT],0,+,cass,INC/SKIP,85,0.0759493670886076,0.202783300198807,-0.1268339331102,3.09019030525409e-07,1.16992765324946e-06,0.394736842105263,0.282258064516129
100129583,FAM47E,100129583//FAM47E,chr4,77172852,77184995,CA-100129583-40781-45138-45484-52664[INC][7/9][UPT],0,+,cass,INC/SKIP,209,0.678714859437751,0.531365313653137,0.147349545784614,0.00422484774558591,0.00769535034220371,0.368421052631579,0.278225806451613
100130890,LOC100130890,100130890//LOC100130890,chr6,99968911,99973984,CA-100130890-3154-3721-3807-8070[INC][1/10][UPT],0,+,cass,INC/SKIP,197,0.41726618705036,0.288770053475936,0.128496133574424,3.67945565031354e-05,9.94834277592689e-05,0.552631578947368,0.30241935483871
100130890,LOC100130890,100130890//LOC100130890,chr6,99973939,99979665,CA-100130890-8116-13369-13543-13638[INC][12/2],0,+,cass,INC/SKIP,276,0.736842105263158,0.62741935483871,0.109422750424448,0.0115552458103983,0.0190295480591077,0.657894736842105,0.318548387096774
166824,RASSF6,166824//RASSF6,chr4,74447533,74451080,CA-166824-38444-41333-41435-41755[INC][8/2],0,-,cass,INC/SKIP,179,0.523404255319149,0.72969696969697,-0.206292714377821,9.71949875778992e-07,3.38991619451973e-06,0.447368421052632,0.189516129032258
167227,DCP2,167227//DCP2,chr5,112312478,112321682,CA-167227-3277-7332-7462-12125[INC][2/37][UPT],0,+,cass,INC/SKIP,56,0.346938775510204,0.0365448504983389,0.310393925011865,1.88530113128339e-19,3.22009433223203e-18,0.210526315789474,0.173387096774194
168374,ZNF92,168374//ZNF92,chr7,64838793,64853813,CA-168374-3146-17047-17174-17951[INC][44/5][UPT],0,+,cass,INC/SKIP,24,0.91044776119403,0.693430656934307,0.217017104259723,0.0240360479725376,0.0368146284344939,0.131578947368421,0.0282258064516129
1716,DGUOK,1716//DGUOK,chr2,74154019,74174032,CA-1716-3227-15084-15197-22893[INC][61/112][UPT],0,+,cass,INC/SKIP,1297,0.724734042553192,0.376891734575087,0.347842307978104,1.9093716859508e-99,3.80474131287129e-96,0.842105263157895,0.721774193548387
