,ensemble,symbol,gene,chrom,chromStart,chromEnd,name,score,strand,type,isoformIDs,coverage,I_g1.group1.,I_g2.group2.,dI_g1_vs_g2,pvalue,FDR,isoform1Tags_g1,isoform2Tags_g1,exonTags_g1,inclusionJunction1Tags_g1,inclusionJunction2Tags_g1,skippingJunctionTags_g1,isoform1Tags_g2,isoform2Tags_g2,exonTags_g2,inclusionJunction1Tags_g2,inclusionJunction2Tags_g2,skippingJunctionTags_g2,alpha_T2D_ratio,alpha_ND_ratio,beta_T2D_ratio,beta_ND_ratio,mark
5,10000,AKT3,10000//AKT3,chr1,243708811,243727149,CA-10000-282865-293641-293856-300987[INC][21/1],0,-,cass,INC/SKIP,0,1,1,0,1,1,307,0,307,76,78,0,873,0,873,263,188,0,0.0707964601769911,0.146179401993355,0.0983606557377049,0.121212121212121,None
6,10000,AKT3,10000//AKT3,chr1,243708811,243716244,CA-10000-293856-299663-299782-300987[INC][1/30],0,-,cass,INC/SKIP,0,0,0,0,5.58448612537287e-15,1,194,78,194,0,0,78,121,188,121,0,0,188,0.0530973451327434,0.136212624584718,0.0901639344262295,0.104377104377104,None
7,10001,MED6,10001//MED6,chr14,71052472,71059704,CA-10001-10788-12286-12402-17884[INC][52/2],0,-,cass,INC/SKIP,0,1,1,0,1,1,370,0,370,172,124,0,2263,0,2263,1014,797,0,0.150442477876106,0.292358803986711,0.188524590163934,0.218855218855219,None
25,10005,ACOT8,10005//ACOT8,chr20,44482561,44486009,CA-10005-3222-5117-5251-6425[INC][3/1][UPT],0,-,cass,INC/SKIP,0,1,1,0,1,1,809,0,809,233,121,0,1301,0,1301,373,71,0,0.0707964601769911,0.146179401993355,0.0737704918032787,0.148148148148148,None
26,10005,ACOT8,10005//ACOT8,chr20,44477088,44486009,CA-10005-3222-5117-5251-11734[INC][123/12][UPT],0,-,cass,INC/SKIP,113,0.808943089430894,0.851183765501691,-0.0422406760707967,0.488998245480655,0.537962602954551,809,47,809,233,165,47,1301,66,1301,373,382,66,0.079646017699115,0.182724252491694,0.0901639344262295,0.168350168350168,None
27,10005,ACOT8,10005//ACOT8,chr20,44477088,44486009,CA-10005-3222-5117-5199-11734[INC][1/12][UPT],0,-,cass,INC/SKIP,113,0.712538226299694,0.738613861386139,-0.0260756350864444,0.548568545868558,0.59699798178809,593,47,593,233,0,47,948,66,948,373,0,66,0.0707964601769911,0.159468438538206,0.0901639344262295,0.144781144781145,None
28,10005,ACOT8,10005//ACOT8,chr20,44472901,44486009,CA-10005-3222-11734-11960-15989[INC][11/2][UPT],0,-,cass,INC/SKIP,0,1,1,0,1,1,1027,0,1027,47,213,0,2248,0,2248,66,454,0,0.0884955752212389,0.162790697674419,0.114754098360656,0.138047138047138,None
29,10005,ACOT8,10005//ACOT8,chr20,44477088,44483930,CA-10005-5251-6425-6487-11734[INC][3/130],0,-,cass,INC/SKIP,192,0.268292682926829,0.0850299401197605,0.183262742807069,5.05057236064054e-19,4.33491210722159e-18,219,165,219,121,0,165,146,382,146,71,0,382,0.0707964601769911,0.156146179401993,0.0655737704918033,0.141414141414141,Up
30,10005,ACOT8,10005//ACOT8,chr20,44477088,44483930,CA-10005-5251-6430-6487-11734[INC][1/130],0,-,cass,INC/SKIP,19,0.00900900900900901,0.0205128205128205,-0.0115038115038115,2.77120415196591e-19,1,219,165,219,3,0,165,145,382,145,16,0,382,0.0707964601769911,0.13953488372093,0.0573770491803279,0.124579124579125,None
31,10005,ACOT8,10005//ACOT8,chr20,44470364,44473058,CA-10005-16147-16688-16883-18453[INC][56/4][DNT],0,-,cass,INC/SKIP,7,1,0.986767485822306,0.0132325141776938,0.203742614765542,1,1102,0,1102,266,247,0,2701,7,2701,523,521,7,0.123893805309735,0.235880398671096,0.139344262295082,0.198653198653199,None
32,10006,ABI1,10006//ABI1,chr10,27112066,27149824,CA-10006-3341-28680-28773-40782[INC][5/662][UPT],0,-,cass,INC/SKIP,14,0,0.0133079847908745,-0.0133079847908745,0.000267746516640145,1,0,322,0,0,0,322,18,519,18,9,5,519,0.141592920353982,0.225913621262458,0.180327868852459,0.178451178451178,None
33,10006,ABI1,10006//ABI1,chr10,27112066,27149824,CA-10006-3341-24304-24355-40782[INC][3/662][UPT],0,-,cass,INC/SKIP,0,0,0,0,1,1,1,322,1,0,0,322,3,519,3,0,0,519,0.141592920353982,0.219269102990033,0.180327868852459,0.178451178451178,None
34,10006,ABI1,10006//ABI1,chr10,27059173,27112233,CA-10006-40950-86846-87023-93742[INC][195/3],0,-,cass,INC/SKIP,0,1,1,0,1,1,1475,0,1475,394,60,0,2561,0,2561,646,58,0,0.132743362831858,0.252491694352159,0.204918032786885,0.181818181818182,None
35,10006,ABI1,10006//ABI1,chr10,27065993,27112233,CA-10006-40950-42846-42920-86846[INC][1/669],0,-,cass,INC/SKIP,0,0,0,0,1,1,0,394,0,0,0,394,0,646,0,0,0,646,0.132743362831858,0.252491694352159,0.204918032786885,0.181818181818182,None
36,10006,ABI1,10006//ABI1,chr10,27065993,27112233,CA-10006-40950-76853-76960-86846[INC][2/669],0,-,cass,INC/SKIP,10,0,0.00768049155145929,-0.00768049155145929,0.022705333697261,1,1,394,1,0,0,394,13,646,13,4,6,646,0.132743362831858,0.252491694352159,0.204918032786885,0.181818181818182,None
37,10006,ABI1,10006//ABI1,chr10,27059173,27066169,CA-10006-87023-92998-93013-93742[INC][191/203],0,-,cass,INC/SKIP,118,0.820359281437126,0.909657320872274,-0.0892980394351484,0.000137521556728291,0.000263770854708361,340,60,340,299,249,60,702,58,702,613,555,58,0.132743362831858,0.255813953488372,0.204918032786885,0.198653198653199,None
38,10006,ABI1,10006//ABI1,chr10,27044583,27054246,CA-10006-98870-104852-105026-108346[INC][8/4],0,-,cass,INC/SKIP,0,1,1,0,1,1,1608,0,1608,108,93,0,2837,0,2837,251,188,0,0.0619469026548673,0.172757475083056,0.131147540983607,0.134680134680135,None
39,10006,ABI1,10006//ABI1,chr10,27040526,27054246,CA-10006-98870-104852-105026-112304[INC][9/18],0,-,cass,INC/SKIP,14,0.895131086142322,1,-0.104868913857678,6.85213707152435e-07,1,1608,14,1608,108,131,14,2837,0,2837,251,197,0,0.0530973451327434,0.196013289036545,0.155737704918033,0.195286195286195,None
40,10006,ABI1,10006//ABI1,chr10,27047990,27054246,CA-10006-98870-100127-100208-104849[INC][4/34],0,-,cass,INC/SKIP,0,0,0,0,4.19490164765159e-13,1,0,346,0,0,0,346,51,426,51,0,0,426,0.0619469026548673,0.149501661129568,0.163934426229508,0.117845117845118,None
42,10006,ABI1,10006//ABI1,chr10,27044583,27054246,CA-10006-98870-104849-105026-108346[INC][15/4],0,-,cass,INC/SKIP,0,1,1,0,1,1,1611,0,1611,346,93,0,2848,0,2848,426,188,0,0.0884955752212389,0.18936877076412,0.204918032786885,0.134680134680135,None
43,10006,ABI1,10006//ABI1,chr10,27040526,27054246,CA-10006-98870-104849-105026-112304[INC][8/18],0,-,cass,INC/SKIP,14,0.944554455445545,1,-0.0554455445544555,6.73005685832109e-07,1,1611,14,1611,346,131,14,2848,0,2848,426,197,0,0.079646017699115,0.215946843853821,0.19672131147541,0.198653198653199,None
44,10006,ABI1,10006//ABI1,chr10,27040526,27048166,CA-10006-105026-108346-108433-112304[INC][34/21],0,-,cass,INC/SKIP,284,0.368674698795181,0.479524438573316,-0.110849739778135,0.000411560709492905,0.000737029637918417,224,131,224,93,60,131,553,197,553,188,175,197,0.0884955752212389,0.249169435215947,0.188524590163934,0.208754208754209,Down
45,10007,GNPDA1,10007//GNPDA1,chr5,141391476,141392591,CA-10007-3061-3678-3768-4014[INC][2/205][UPT],0,-,cass,INC/SKIP,18,0.00355871886120996,0.02660406885759,-0.02304534999638,0.00416181238765073,1,1,140,1,0,1,140,22,311,22,0,17,311,0.176991150442478,0.3421926910299,0.30327868852459,0.282828282828283,None
46,10007,GNPDA1,10007//GNPDA1,chr5,141391476,141392591,CA-10007-3061-3716-3768-4014[INC][12/205][UPT],0,-,cass,INC/SKIP,18,0.00355871886120996,0.02660406885759,-0.02304534999638,0.00416181238765073,1,1,140,1,0,1,140,22,311,22,0,17,311,0.176991150442478,0.3421926910299,0.30327868852459,0.282828282828283,None
49,10007,GNPDA1,10007//GNPDA1,chr5,141385708,141391605,CA-10007-4144-8155-8257-9729[INC][313/5],0,-,cass,INC/SKIP,0,1,1,0,1,1,2636,0,2636,971,1200,0,7045,0,7045,2256,3495,0,0.36283185840708,0.604651162790698,0.475409836065574,0.468013468013468,None
55,100093630,SNHG8,100093630//SNHG8,chr4,119199930,119200977,CA-100093630-3376-3627-3670-3862[INC][154/2][UPT][DNT],0,+,cass,INC/SKIP,6,0.99720540288775,0.998770743700061,-0.00156534081231108,0.383173560503637,1,2136,3,2136,951,1190,3,4735,3,4735,2387,2488,3,0.787610619469027,0.87375415282392,0.836065573770492,0.814814814814815,None
58,10010,TANK,10010//TANK,chr2,162016938,162036271,CA-10010-26532-27330-27458-45659[INC][1/69][UPT],0,+,cass,INC/SKIP,262,0.232505643340858,0.18213058419244,0.0503750591484179,0.0819214140588089,0.105653434608044,209,170,209,40,63,170,545,357,545,102,57,357,0.221238938053097,0.325581395348837,0.245901639344262,0.272727272727273,None
59,10010,TANK,10010//TANK,chr2,162036124,162060105,CA-10010-45807-68908-69025-69532[INC][1/137],0,+,cass,INC/SKIP,0,0,0,0,5.62755811662712e-19,1,91,682,91,0,0,682,432,1139,432,0,0,1139,0.247787610619469,0.382059800664452,0.311475409836066,0.326599326599327,None
60,10010,TANK,10010//TANK,chr2,162081141,162092679,CA-10010-90792-97016-97597-101387[INC][7/1],0,+,cass,INC/SKIP,0,1,1,0,1,1,9755,0,9755,1204,696,0,17025,0,17025,2149,1270,0,0.274336283185841,0.448504983388704,0.409836065573771,0.387205387205387,None
61,10010,TANK,10010//TANK,chr2,162087481,162092679,CA-10010-97597-98801-98855-101387[INC][1/27],0,+,cass,INC/SKIP,0,0,0,0,1,1,0,696,0,0,0,696,0,1270,0,0,0,1270,0.238938053097345,0.388704318936877,0.368852459016393,0.323232323232323,None
67,10011,SRA1,10011//SRA1,chr5,139930645,139936856,CA-10011-3947-8909-9112-9924[INC][113/3],0,-,cass,INC/SKIP,26,0.998160073597056,0.981570217471434,0.0165898561256224,0.00353905363702323,0.00554557065444265,2312,1,2312,508,577,1,5769,25,5769,997,1666,25,0.460176991150442,0.554817275747508,0.475409836065574,0.609427609427609,None
78,100128252,LOC100128252,100128252//LOC100128252,chr19,56989525,57005710,CA-100128252-3508-16703-16893-19289[INC][1/78][UPT],0,+,cass,INC/SKIP,5,0.00578034682080925,0,0.00578034682080925,6.284259033112e-06,1,13,430,13,0,5,430,0,661,0,0,0,661,0.150442477876106,0.308970099667774,0.286885245901639,0.228956228956229,None
84,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@0-3998-4429-4469-8536[INC][2/25][UPT][DNT],0,-,cass,INC/SKIP,18,0,0.0299003322259136,-0.0299003322259136,0.00280184886105794,1,0,121,0,0,0,121,19,292,19,11,7,292,0.132743362831858,0.235880398671096,0.19672131147541,0.188552188552189,None
85,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@0-3998-4355-4469-8536[INC][2/25][UPT][DNT],0,-,cass,INC/SKIP,7,0,0.011844331641286,-0.011844331641286,0.00011682382630996,1,0,121,0,0,0,121,28,292,28,0,7,292,0.132743362831858,0.232558139534884,0.19672131147541,0.188552188552189,None
86,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@1-3998-4429-4469-8536[INC][2/25][UPT][DNT],0,-,cass,INC/SKIP,18,0,0.0299003322259136,-0.0299003322259136,0.00280184886105794,1,0,121,0,0,0,121,19,292,19,11,7,292,0.132743362831858,0.235880398671096,0.19672131147541,0.188552188552189,None
87,100128782,LINC00476,100128782//LINC00476,chr9,98632569,98637548,CA-100128782@1-3998-4355-4469-8536[INC][2/25][UPT][DNT],0,-,cass,INC/SKIP,7,0,0.011844331641286,-0.011844331641286,0.00011682382630996,1,0,121,0,0,0,121,28,292,28,0,7,292,0.132743362831858,0.232558139534884,0.19672131147541,0.188552188552189,None
97,100129583,FAM47E,100129583//FAM47E,chr4,77172852,77184995,CA-100129583-40781-45138-45484-52664[INC][7/9][UPT],0,+,cass,INC/SKIP,187,0.731481481481482,0.505503810330229,0.225977671151253,1.1307969606981e-08,3.54717071067527e-08,571,29,571,45,113,29,2061,292,2061,187,410,292,0.141592920353982,0.362126245847176,0.163934426229508,0.30976430976431,Up
98,100129583,FAM47E,100129583//FAM47E,chr4,77189812,77199376,CA-100129583-57774-60528-60729-67029[INC][3/1],0,+,cass,INC/SKIP,0,1,1,0,1,1,595,0,595,121,145,0,4048,0,4048,557,868,0,0.15929203539823,0.372093023255814,0.155737704918033,0.30976430976431,None
99,100129583,FAM47E,100129583//FAM47E,chr4,77199221,77204935,CA-100129583-67185-69224-69302-72341[INC][12/1][DNT],0,+,cass,INC/SKIP,356,0.78,0.699906803355079,0.0800931966449208,0.0165461787998547,0.0236136243133385,330,44,330,119,193,44,1595,322,1595,731,771,322,0.150442477876106,0.388704318936877,0.155737704918033,0.353535353535354,None
103,100129842,ZNF737,100129842//ZNF737,chr19,20735280,20748625,CA-100129842-3183-14985-15112-16250[INC][15/1][UPT],0,-,cass,INC/SKIP,9,0.981308411214953,0.953333333333333,0.0279750778816199,0.317648104762172,1,341,2,341,108,102,2,471,7,471,132,154,7,0.0973451327433628,0.159468438538206,0.139344262295082,0.111111111111111,None
134,100130890,LOC100130890,100130890//LOC100130890,chr6,99968911,99973984,CA-100130890-3154-3721-3807-8070[INC][1/10][UPT],0,+,cass,INC/SKIP,313,0.249500998003992,0.283687943262411,-0.0341869452584194,0.264132666371523,0.309035219654682,146,188,146,60,65,188,366,404,366,163,157,404,0.247787610619469,0.348837209302326,0.319672131147541,0.363636363636364,None
135,100130890,LOC100130890,100130890//LOC100130890,chr6,99973939,99979665,CA-100130890-8116-13369-13543-13638[INC][12/2],0,+,cass,INC/SKIP,278,0.858823529411765,0.637480798771121,0.221342730640643,1.11758649138774e-14,6.67250162136512e-14,736,42,736,193,318,42,1225,236,1225,253,577,236,0.300884955752212,0.372093023255814,0.344262295081967,0.404040404040404,Up
147,100131089,LOC100131089,100131089//LOC100131089,chr15,40338161,40357684,CA-100131089-9759-28150-28291-28910[INC][2/5],0,+,cass,INC/SKIP,298,0.524296675191816,0.274336283185841,0.249960392005975,2.05580677341047e-15,1.31449428301768e-14,600,93,600,28,177,93,563,246,563,25,161,246,0.0707964601769911,0.149501661129568,0.131147540983607,0.138047138047138,Up
151,100131187,TSTD1,100131187//TSTD1,chr1,161007702,161008773,CA-100131187-3105-3311-3434-3909[INC][48/10][UPT],0,-,cass,INC/SKIP,2863,0.580715059588299,0.534173263463039,0.0465417961252597,0.000549036461865738,0.000965082805530471,3060,774,3060,740,1404,774,7018,2089,7018,1700,3091,2089,0.823008849557522,0.916943521594684,0.877049180327869,0.872053872053872,None
152,100131187,TSTD1,100131187//TSTD1,chr1,161007702,161008773,CA-100131187-3105-3290-3434-3909[INC][3/10][UPT],0,-,cass,INC/SKIP,2180,0.475964793500339,0.432568246638598,0.0433965468617402,0.00070571944130397,0.00122055055862453,3060,774,3060,2,1404,774,7034,2089,7034,94,3091,2089,0.805309734513274,0.903654485049834,0.868852459016393,0.855218855218855,None
154,166824,RASSF6,166824//RASSF6,chr4,74447533,74451080,CA-166824-38444-41333-41435-41755[INC][8/2],0,-,cass,INC/SKIP,268,0.56268221574344,0.72785622593068,-0.16517401018724,2.42026941081072e-05,5.1224299272284e-05,227,75,227,132,61,75,1248,212,1248,661,473,212,0.00884955752212389,0.215946843853821,0.131147540983607,0.0740740740740741,Down
