ensemble,symbol,gene,chrom,chromStart,chromEnd,name,score,strand,type,isoformIDs,coverage,I_g1.group1.,I_g2.group2.,dI_g1_vs_g2,pvalue,FDR,law.beta_c4_ratio,law.beta_nc4_ratio
10006,ABI1,10006//ABI1,chr10,27040526,27048166,CA-10006-105026-108346-108433-112304[INC][34/21],0,-,cass,INC/SKIP,111,0.656716417910448,0.431053203040174,0.225663214870274,0.00346680368629581,0.00644620604562251,0.315789473684211,0.229838709677419
100129583,FAM47E,100129583//FAM47E,chr4,77172852,77184995,CA-100129583-40781-45138-45484-52664[INC][7/9][UPT],0,+,cass,INC/SKIP,209,0.678714859437751,0.531365313653137,0.147349545784614,0.00422484774558591,0.00769535034220371,0.368421052631579,0.278225806451613
100130890,LOC100130890,100130890//LOC100130890,chr6,99968911,99973984,CA-100130890-3154-3721-3807-8070[INC][1/10][UPT],0,+,cass,INC/SKIP,197,0.41726618705036,0.288770053475936,0.128496133574424,3.67945565031354e-05,9.94834277592689e-05,0.552631578947368,0.30241935483871
100130890,LOC100130890,100130890//LOC100130890,chr6,99973939,99979665,CA-100130890-8116-13369-13543-13638[INC][12/2],0,+,cass,INC/SKIP,276,0.736842105263158,0.62741935483871,0.109422750424448,0.0115552458103983,0.0190295480591077,0.657894736842105,0.318548387096774
167227,DCP2,167227//DCP2,chr5,112312478,112321682,CA-167227-3277-7332-7462-12125[INC][2/37][UPT],0,+,cass,INC/SKIP,56,0.346938775510204,0.0365448504983389,0.310393925011865,1.88530113128339e-19,3.22009433223203e-18,0.210526315789474,0.173387096774194
168374,ZNF92,168374//ZNF92,chr7,64838793,64853813,CA-168374-3146-17047-17174-17951[INC][44/5][UPT],0,+,cass,INC/SKIP,24,0.91044776119403,0.693430656934307,0.217017104259723,0.0240360479725376,0.0368146284344939,0.131578947368421,0.0282258064516129
1716,DGUOK,1716//DGUOK,chr2,74154019,74174032,CA-1716-3227-15084-15197-22893[INC][61/112][UPT],0,+,cass,INC/SKIP,1297,0.724734042553192,0.376891734575087,0.347842307978104,1.9093716859508e-99,3.80474131287129e-96,0.842105263157895,0.721774193548387
1728,NQO1,1728//NQO1,chr16,69746930,69752155,CA-1728-11508-14553-14667-16501[INC][338/66],0,-,cass,INC/SKIP,110,1,0.795539033457249,0.204460966542751,1.32849674854034e-12,1.01297877076201e-11,0.315789473684211,0.145161290322581
1739,DLG1,1739//DLG1,chr3,196869588,196921459,CA-1739-107152-151780-151834-158808[INC][7/3],0,-,cass,INC/SKIP,107,1,0.765350877192982,0.234649122807018,1.66482707956412e-16,2.02283257756795e-15,0.289473684210526,0.173387096774194
1786,DNMT1,1786//DNMT1,chr19,10287967,10291244,CA-1786-17730-17845-17893-20712[INC][10/36],0,-,cass,INC/SKIP,119,0.314917127071823,0.158425832492432,0.156491294579391,0.000172688015434127,0.00041177860241931,0.447368421052632,0.245967741935484
1837,DTNA,1837//DTNA,chr18,32259431,32336006,CA-1837-189303-193192-193405-265686[INC][1/83],0,+,cass,INC/SKIP,22,0.2,0.0175438596491228,0.182456140350877,1.87121526314228e-14,1.76437300363794e-13,0.184210526315789,0.0766129032258065
1876,E2F6,1876//E2F6,chr2,11593707,11606274,CA-1876-3400-11938-11993-15373[INC][70/22][UPT],0,-,cass,INC/SKIP,43,1,0.488095238095238,0.511904761904762,1.23479065996642e-07,4.93091420526337e-07,0.131578947368421,0.0241935483870968
1908,EDN3,1908//EDN3,chr20,57896071,57901046,CA-1908-23750-24928-24974-26887[INC][8/3][DNT],0,+,cass,INC/SKIP,76,0.948717948717949,0.766109785202864,0.182608163515085,0.00353846276977863,0.0065590481977478,0.315789473684211,0.189516129032258
1908,EDN3,1908//EDN3,chr20,57896071,57901046,CA-1908-23750-24928-25009-26887[INC][3/3][DNT],0,+,cass,INC/SKIP,71,0.945205479452055,0.687898089171974,0.25730739028008,0.00243300242799018,0.00467367882857497,0.315789473684211,0.173387096774194
195827,AAED1,195827//AAED1,chr9,99403532,99413776,CA-195827-6928-12293-12425-16431[INC][30/7][DNT],0,-,cass,INC/SKIP,107,0.860869565217391,0.558510638297872,0.302358926919519,1.03510999094414e-06,3.59760902666516e-06,0.131578947368421,0.108870967741935
196394,AMN1,196394//AMN1,chr12,31862226,31867884,CA-196394-17293-17543-17734-22749[INC][1/19],0,-,cass,INC/SKIP,20,0.212121212121212,0.0742049469964664,0.137916265124746,0.0157031044908055,0.0250395195108123,0.131578947368421,0.0483870967741935
196951,C15orf33,196951//C15orf33,chr15,49881972,49903464,CA-196951-12707-17703-17766-33914[INC][2/29],0,-,cass,INC/SKIP,41,0.344262295081967,0.16010498687664,0.184157308205327,1.01557880165559e-07,4.09105800289563e-07,0.236842105263158,0.129032258064516
199704,ZNF585A,199704//ZNF585A,chr19,37647130,37660955,CA-199704-5875-10017-10119-19358[INC][10/41],0,-,cass,INC/SKIP,86,1,0.69449378330373,0.30550621669627,4.35940684701707e-08,1.84826483201901e-07,0.315789473684211,0.294354838709677
199746,U2AF1L4,199746//U2AF1L4,chr19,36235223,36236112,CA-199746-3311-3743-3810-4014[INC][6/11],0,-,cass,INC/SKIP,56,0.916083916083916,0.71830985915493,0.197774056928986,0.00648456102153832,0.0113347092943731,0.236842105263158,0.125
199746,U2AF1L4,199746//U2AF1L4,chr19,36235223,36236112,CA-199746-3311-3697-3810-4014[INC][7/11],0,-,cass,INC/SKIP,56,0.909774436090226,0.649122807017544,0.260651629072682,0.00664512921672221,0.0115916493894267,0.236842105263158,0.116935483870968
199746,U2AF1L4,199746//U2AF1L4,chr19,36233427,36234804,CA-199746-4627-5090-5281-5632[INC][1/65][DNT],0,-,cass,INC/SKIP,205,0.708333333333333,0.272311212814645,0.436022120518688,1.5073949011456e-06,5.1054995575345e-06,0.289473684210526,0.193548387096774
199746,U2AF1L4,199746//U2AF1L4,chr19,36233427,36234804,CA-199746-4627-5230-5281-5632[INC][1/65][DNT],0,-,cass,INC/SKIP,114,0.530201342281879,0.154255319148936,0.375946023132943,1.0272243576339e-05,3.03546574885588e-05,0.236842105263158,0.181451612903226
201965,RWDD4,201965//RWDD4,chr4,184572136,184577113,CA-201965-6298-10851-10961-11047[INC][63/2],0,-,cass,INC/SKIP,40,1,0.78494623655914,0.21505376344086,0.0235432638893895,0.0361153788890866,0.236842105263158,0.209677419354839
2033,EP300,2033//EP300,chr22,41537051,41543949,CA-2033-51613-57129-57207-58227[INC][19/1],0,+,cass,INC/SKIP,37,1,0.635802469135803,0.364197530864197,3.22505766823886e-06,1.03319371600921e-05,0.105263157894737,0.0846774193548387
2115,ETV1,2115//ETV1,chr7,14028632,14029290,CA-2115-4863-4961-5158-5286[INC][19/79][UPT],0,-,cass,INC/SKIP,20,0.818181818181818,0.294605809128631,0.523576009053188,5.86983416369604e-07,2.12794837056246e-06,0.105263157894737,0.149193548387097
214,ALCAM,214//ALCAM,chr3,105268970,105271428,CA-214-186547-188431-188470-188755[INC][30/8],0,+,cass,INC/SKIP,310,0.966804979253112,0.812945184267575,0.153859794985537,3.18703910851424e-12,2.30376297348224e-11,0.657894736842105,0.528225806451613
2186,BPTF,2186//BPTF,chr17,65870932,65888149,CA-2186-52357-52892-53081-69180[INC][2/4],0,+,cass,INC/SKIP,61,0.960199004975124,0.73972602739726,0.220472977577864,1.19626294060125e-05,3.48841944337282e-05,0.210526315789474,0.125
2186,BPTF,2186//BPTF,chr17,65870932,65882431,CA-2186-52357-52892-53081-63464[INC][6/2],0,+,cass,INC/SKIP,331,0.630541871921182,0.362412493268713,0.268129378652469,3.36837739200223e-26,1.15063771710796e-24,0.421052631578947,0.217741935483871
22,ABCB7,22//ABCB7,chrX,74332720,74376116,CA-22-3193-44463-44544-46325[INC][86/3][UPT],0,-,cass,INC/SKIP,77,1,0.781560283687943,0.218439716312057,4.97002710366212e-08,2.09378590737788e-07,0.210526315789474,0.157258064516129
22,ABCB7,22//ABCB7,chrX,74332720,74376116,CA-22-3193-44466-44544-46325[INC][79/3][UPT],0,-,cass,INC/SKIP,77,1,0.782178217821782,0.217821782178218,4.97002710366212e-08,2.09231141026001e-07,0.263157894736842,0.157258064516129
220729,LOC220729,220729//LOC220729,chr3,197348574,197350252,CA-220729-7662-8551-8695-9013[INC][14/41],0,-,cass,INC/SKIP,79,0.564356435643564,0.32,0.244356435643564,9.47163344318839e-05,0.000236810642925053,0.184210526315789,0.112903225806452
220972,MARCH8,220972//MARCH8,chr10,46028557,46090045,CA-220972-3672-44702-44795-64617[INC][6/10][UPT],0,-,cass,INC/SKIP,70,0.686746987951807,0.198606271777003,0.488140716174804,4.48132449022345e-16,5.17169069547409e-15,0.184210526315789,0.092741935483871
2235,FECH,2235//FECH,chr18,55222076,55230211,CA-2235-26864-30494-30593-34785[INC][35/2],0,-,cass,INC/SKIP,30,1,0.834254143646409,0.165745856353591,7.91084420342762e-08,3.24355463978672e-07,0.184210526315789,0.0564516129032258
22866,CNKSR2,22866//CNKSR2,chrX,21549973,21581569,CA-22866-160650-190053-190143-191820[INC][15/4],0,+,cass,INC/SKIP,88,1,0.251063829787234,0.748936170212766,3.74934572642207e-31,2.00121328147778e-29,0.131578947368421,0.0403225806451613
22872,SEC31A,22872//SEC31A,chr4,83778841,83784544,CA-22872-30949-31694-31733-36502[INC][8/26],0,-,cass,INC/SKIP,325,0.870476190476191,0.767571884984026,0.102904305492165,0.000126219084371584,0.000308226179074072,0.815789473684211,0.463709677419355
22872,SEC31A,22872//SEC31A,chr4,83778841,83784544,CA-22872-30949-32558-32636-36502[INC][3/26],0,-,cass,INC/SKIP,325,0.833740831295844,0.721797323135755,0.111943508160088,0.00127433913926945,0.00257538856475753,0.657894736842105,0.423387096774194
22872,SEC31A,22872//SEC31A,chr4,83750152,83763633,CA-22872-52082-63291-63330-65208[INC][2/19],0,-,cass,INC/SKIP,406,0.970149253731343,0.773078022292083,0.19707123143926,3.36150704177176e-24,9.47881561118471e-23,0.657894736842105,0.443548387096774
22872,SEC31A,22872//SEC31A,chr4,83750152,83763633,CA-22872-52127-63291-63330-65208[INC][15/48],0,-,cass,INC/SKIP,856,0.845749342681858,0.713753261274693,0.131996081407165,5.9643849685626e-11,3.69100345155975e-10,0.763157894736842,0.459677419354839
22920,KIFAP3,22920//KIFAP3,chr1,169890460,169923250,CA-22920-123728-151883-151952-155957[INC][3/74][DNT],0,-,cass,INC/SKIP,405,0.497227356746765,0.334018499486125,0.16320885726064,7.05784983146085e-09,3.31957720633147e-08,0.421052631578947,0.25
22944,KIN,22944//KIN,chr10,7822226,7829880,CA-22944-3208-7852-7947-10720[INC][23/4][UPT],0,-,cass,INC/SKIP,142,0.962264150943396,0.758318739054291,0.203945411889106,3.6631341120108e-08,1.57654540832257e-07,0.473684210526316,0.25
22984,PDCD11,22984//PDCD11,chr10,105158172,105160284,CA-22984-4874-6079-6176-6742[INC][1/37],0,+,cass,INC/SKIP,68,0.377358490566038,0.111111111111111,0.266247379454927,2.16898641021456e-11,1.40936964785463e-10,0.421052631578947,0.17741935483871
22984,PDCD11,22984//PDCD11,chr10,105158172,105160284,CA-22984-4874-5992-6176-6742[INC][1/37],0,+,cass,INC/SKIP,50,0.266666666666667,0.104,0.162666666666667,6.68320654239733e-11,4.11030953811227e-10,0.394736842105263,0.17741935483871
