ensemble,symbol,gene,chrom,chromStart,chromEnd,name,score,strand,type,isoformIDs,coverage,I_g1.group1.,I_g2.group2.,dI_g1_vs_g2,pvalue,FDR,law.beta_c4_ratio,law.beta_nc4_ratio
10005,ACOT8,10005//ACOT8,chr20,44477088,44483930,CA-10005-5251-6425-6487-11734[INC][3/130],0,-,cass,INC/SKIP,40,0,0.166377816291161,-0.166377816291161,3.7889203448155e-10,2.10307946344541e-09,0.236842105263158,0.112903225806452
10010,TANK,10010//TANK,chr2,162016938,162036271,CA-10010-26532-27330-27458-45659[INC][1/69][UPT],0,+,cass,INC/SKIP,85,0.0759493670886076,0.202783300198807,-0.1268339331102,3.09019030525409e-07,1.16992765324946e-06,0.394736842105263,0.282258064516129
166824,RASSF6,166824//RASSF6,chr4,74447533,74451080,CA-166824-38444-41333-41435-41755[INC][8/2],0,-,cass,INC/SKIP,179,0.523404255319149,0.72969696969697,-0.206292714377821,9.71949875778992e-07,3.38991619451973e-06,0.447368421052632,0.189516129032258
1798,DPAGT1,1798//DPAGT1,chr11,118970971,118972562,CA-1798-3581-4232-4446-4667[INC][7/1][UPT],0,-,cass,INC/SKIP,24,0.799163179916318,1,-0.200836820083682,2.66148654158664e-17,3.559366117585e-16,0.368421052631579,0.185483870967742
1798,DPAGT1,1798//DPAGT1,chr11,118968173,118969196,CA-1798-6673-7032-7221-7524[INC][23/2],0,-,cass,INC/SKIP,32,0.869653767820774,1,-0.130346232179226,8.50703300359592e-22,1.83592214063164e-20,0.473684210526316,0.233870967741935
1798,DPAGT1,1798//DPAGT1,chr11,118968173,118969196,CA-1798-6673-7150-7221-7524[INC][1/2],0,-,cass,INC/SKIP,32,0.796825396825397,1,-0.203174603174603,1.40167084627112e-20,2.63496488019143e-19,0.447368421052632,0.217741935483871
1876,E2F6,1876//E2F6,chr2,11593707,11597358,CA-1876-11993-13697-13830-15373[INC][11/78],0,-,cass,INC/SKIP,26,0,0.185714285714286,-0.185714285714286,0.000829598613243617,0.00174011947718258,0.105263157894737,0.0161290322580645
1912,PHC2,1912//PHC2,chr1,33789226,33794746,CA-1912-49724-52632-52799-53574[INC][1/133][DNT],0,-,cass,INC/SKIP,78,0,0.209713024282561,-0.209713024282561,8.59212441778775e-33,5.03565880093482e-31,0.157894736842105,0.0806451612903226
1936,EEF1D,1936//EEF1D,chr8,144668898,144674829,CA-1936-8029-10594-11685-13823[INC][4/1],0,-,cass,INC/SKIP,31,0.26530612244898,0.441860465116279,-0.176554342667299,2.03490257410422e-05,5.74074921566542e-05,0.210526315789474,0.137096774193548
196074,METTL15,196074//METTL15,chr11,28318299,28355053,CA-196074-191681-222844-222915-225145[INC][4/9][DNT],0,+,cass,INC/SKIP,52,0.04,0.171717171717172,-0.131717171717172,0.000516284629098594,0.00112149328224978,0.184210526315789,0.0846774193548387
199870,FAM76A,199870//FAM76A,chr1,28071164,28081840,CA-199870-21833-26089-26176-32216[INC][9/9],0,+,cass,INC/SKIP,35,0.346153846153846,0.636363636363636,-0.29020979020979,0.00012579416037267,0.000307314054232865,0.184210526315789,0.0967741935483871
