gene chrom chromStart chromEnd name celltype β.dI β/α.dI α.dI δ.dI PP.dI
1 10005//ACOT8 chr20 44477088 44486009 CA-10005-3222-5117-5251-11734[INC][123/12][UPT] β -0.15214190810382 0.0557183269347342 0.136131593874078 0.0955794504181601 0.0517111989012078
2 10005//ACOT8 chr20 44477088 44486009 CA-10005-3222-5117-5199-11734[INC][1/12][UPT] β -0.246545009649848 0.0991348233597693 0.235756385068762 0.176730486008837 0.0742651657285804
3 100129583//FAM47E chr4 77172852 77184995 CA-100129583-40781-45138-45484-52664[INC][7/9][UPT] β -0.11872379588915 0.0553112015525098 -0.00675814833441102 0.101079852230747 0.204229741430789
4 100129583//FAM47E chr4 77199221 77204935 CA-100129583-67185-69224-69302-72341[INC][12/1][DNT] β -0.130668579949602 0.0880505387574191 0.108454331146113 -0.297708021923269 0.0585358811959797
5 100131089//LOC100131089 chr15 40338161 40357684 CA-100131089-9759-28150-28291-28910[INC][2/5] β -0.140853862327388 -0.21559755123769 0.329475579761068 0.577478344562079 -0.475814076037259
6 100131187//TSTD1 chr1 161007702 161008773 CA-100131187-3105-3311-3434-3909[INC][48/10][UPT] β -0.163096784721374 0.0123044183938673 0.133531617815571 0.143103006955491 0.0577850786030851
7 100131187//TSTD1 chr1 161007702 161008773 CA-100131187-3105-3290-3434-3909[INC][3/10][UPT] β -0.180047869951858 0.020913369602565 0.148532200924617 0.169671669538594 0.057291161007672
8 167153//PAPD4 chr5 78944884 78964850 CA-167153-39771-47538-47582-59472[INC][14/5] β -0.295305207284708 0.298766560073093 0.216103678611529 -0.0277995230206266 0.284471509351892
9 169026//SLC30A8 chr8 118147336 118159391 CA-169026-188126-199546-199576-199681[INC][11/11][UPT] β -0.12056128202936 -0.0728375551782556 0.189346135655014 -0.0978632530010174 0.0661968056864031
10 171392//ZNF675 chr19 23837347 23845010 CA-171392-28102-33393-33494-35509[INC][1/24][DNT] β -0.12366953212153 -0.0863453815261044 0.181268986826563 0.013986013986014 -0.0817490494296578
11 1716//DGUOK chr2 74173845 74185371 CA-1716-23081-33299-33415-34320[INC][2/98] β -0.113881273532811 0.00915538186795389 0.076452463865905 0.110403048909532 0.0508420049178751
12 1759//DNM1 chr9 131002006 131004623 CA-1759-39396-39601-39613-41848[INC][30/1] β -0.183150183150183 0.0587544065804936 0.0878734622144113 0.0523012552301255 0.0588928150765606
13 1798//DPAGT1 chr11 118971339 118972562 CA-1798-3581-4028-4058-4232[INC][1/11][UPT] β -0.109082587231976 0.114889705882353 0.0279222961618606 0.10998680158381 0.117205813408345
14 1936//EEF1D chr8 144668898 144674829 CA-1936-8029-10594-11685-13823[INC][4/1] β -0.228032230703986 0.209908069458631 0.23742709365027 -0.50814332247557 -0.509803921568627
15 1942//EFNA1 chr1 155103814 155106255 CA-1942-6762-8630-8696-8857[INC][132/8] β -0.132474413705308 0.079068447351496 0.0372147743072508 0.111409911640415 -0.178311140336457
16 196074//METTL15 chr11 28318299 28355053 CA-196074-191681-222844-222915-225145[INC][4/9][DNT] β -0.12249310370536 -0.17344398340249 0.131275528669665 -0.162645914396887 0.854901960784314
17 196294//IMMP1L chr11 31484718 31495332 CA-196294-38899-42825-42865-49317[INC][2/3] β -0.120659325015507 0.24238248354004 -0.0338235294117647 0.346278317152104 -0.215921931176168
18 196294//IMMP1L chr11 31484718 31495332 CA-196294-38899-42825-42883-49317[INC][2/3] β -0.122439578157648 0.134808219794055 0.00403674832962142 0.218367346938775 -0.0974144685296422
19 1977//EIF4E chr4 99802222 99808342 CA-1977-46557-48574-48714-52493[INC][217/1][DNT] β -0.257467144563919 0.444444444444444 0.100069013112491 0.430769230769231 0.0899470899470899
20 199870//FAM76A chr1 28071164 28081840 CA-199870-21833-26089-26176-32216[INC][9/9] β -0.36938964649808 0.316883116883117 0.28857634902411 0.279816513761468 -0.123502304147465
21 201283//AMZ2P1 chr17 62969359 62971701 CA-201283-3026-3944-4031-5068[INC][4/2][UPT] β -0.121276127612761 0.160782499957175 0.0477375029613836 0.0881801125703565 -0.00960591133004929
22 201965//RWDD4 chr4 184572136 184577113 CA-201965-6298-10855-10961-11047[INC][4/2] β -0.195296544610624 0.262895174708819 0.222853352129027 -0.633436680181255 0.262458471760797
23 201965//RWDD4 chr4 184572136 184577113 CA-201965-6298-10851-10961-11047[INC][63/2] β -0.113438317868189 0.160081053698075 0.133030378019242 -0.424139534883721 0.155665024630542
24 2030//SLC29A1 chr6 44191331 44195078 CA-2030-7137-9556-9663-10758[INC][31/114][UPT] β -0.1156969363068 0.0799916348617138 0.168789543789544 0.108114674441205 -0.424172601591956
25 2108//ETFA chr15 76587931 76603783 CA-2108-3120-4405-4538-18732[INC][7/225][UPT] β -0.114764679515912 0.12012500841241 0.0738127101862232 -0.0997679814385151 0.00301181852840259
26 214//ALCAM chr3 105268970 105271428 CA-214-186547-188431-188470-188755[INC][30/8] β -0.124840092075222 0.0332981254578584 0.126320389476487 0.0711043482316569 0.0876919272367569
27 2186//BPTF chr17 65870932 65882431 CA-2186-52357-52892-53081-63464[INC][6/2] β -0.117762740899358 0.0681910580910454 0.147975659985766 0.41203139368277 -0.196943593373129
28 219402//MTIF3 chr13 28019224 28024258 CA-219402-3539-3684-3751-8446[INC][3/18][UPT] β -0.314038181738019 -0.0191068846136991 0.358861340679523 0.200549324788281 -0.0137566137566137
29 220972//MARCH8 chr10 46028557 46090045 CA-220972-3672-44702-44795-64617[INC][6/10][UPT] β -0.116623074687591 -0.200396825396825 0.192152419320995 0.647382920110193 -0.0336516598453843
30 221016//CCDC7 chr10 32751944 32761469 CA-221016-19937-27951-28118-29368[INC][8/2] β -0.237700241386877 -0.293080054274084 0.0983351561550613 0.328783783783784 0.431357806280407
31 2217//FCGRT chr19 50017138 50028032 CA-2217-4855-4932-5208-15228[INC][72/6] β -0.228065232001344 0.0723793677204659 0.126811360366277 NA 0.0668202764976958
32 221806//VWDE chr7 12423161 12428983 CA-221806-18100-18269-18419-23625[INC][1/5] β -0.319901637307668 -0.0244979919678715 0.198077100433459 0.207227288078352 0.505472249658296
33 22827//PUF60 chr8 144903987 144911489 CA-22827-3088-7971-8055-10454[INC][37/42][UPT] β -0.109941782355576 0.052778011972009 0.140224772646043 -0.155159613956941 -0.137218045112782
34 22827//PUF60 chr8 144900542 144903855 CA-22827-10771-11651-11702-13833[INC][271/214] β -0.141543449588187 0.016150234741784 0.173023055375997 -0.0520005763488303 -0.142800381436745
35 22872//SEC31A chr4 83750152 83763633 CA-22872-52082-63291-63330-65208[INC][2/19] β -0.140645192566758 0.0049623018347893 0.164492565822943 -0.357320333898526 0.133851302390628
36 22872//SEC31A chr4 83750152 83763633 CA-22872-52127-63291-63330-65208[INC][15/48] β -0.181700339858587 -0.022301676294415 0.188088929670624 0.0175379094146894 0.0985326724925004
