,ensemble,symbol,gene,chrom,chromStart,chromEnd,name,score,strand,type,lawlor_T2D_PSI,lawlor_ND_PSI,lawlor_dI,lawlor_FDR,lawlor.beta_T2D_ratio,lawlor.beta_ND_ratio,lawlor_mark,xin_T2D_PSI,xin_ND_PSI,xin_dI,xin_FDR,xin.beta_T2D_ratio,xin.beta_ND_ratio,xin_mark,
6415,56181,FAM54B,56181//FAM54B,chr1,26149509,26150238,CA-56181-6223-6332-6418-6738[INC][11/266],0,+,cass,0.26344086,0.114573786,0.148867075,0.000189021,0.18852459,0.255892256,Up,0.079323797,0.215277778,-0.135953981,3.34E-28,0.14801444,0.09947644,Down,1
22,10006,ABI1,10006//ABI1,chr10,27040526,27048166,CA-10006-105026-108346-108433-112304[INC][34/21],0,-,cass,0.368674699,0.479524439,-0.11084974,0.00073703,0.18852459,0.208754209,Down,0.668224299,0.385964912,0.282259387,0.000146497,0.111913357,0.073298429,Up,1
3735,4731,NDUFV3,4731//NDUFV3,chr21,44317036,44329212,CA-4731-6780-12914-14009-18596[INC][4/58][DNT],0,+,cass,0.076719577,0.177728285,-0.101008708,5.12E-17,0.37704918,0.599326599,Down,0.194833154,0.08244898,0.112384174,1.06E-47,0.483754513,0.345549738,Up,1
9573,81608,FIP1L1,81608//FIP1L1,chr4,54265896,54292131,CA-81608-25187-39962-40070-51219[INC][18/13],0,+,cass,0.527173913,0.657320872,-0.130146959,0.013464139,0.172131148,0.191919192,Down,0.635294118,0.341365462,0.293928656,3.68E-07,0.187725632,0.083769634,Up,1
10373,84065,TMEM222,84065//TMEM222,chr1,27657210,27658591,CA-84065-11660-11840-11993-12925[INC][25/150],0,+,cass,0.01734104,0.205741627,-0.188400586,3.82E-14,0.090163934,0.202020202,Down,0.008547009,0.204395604,-0.195848596,4.34E-40,0.133574007,0.12565445,Down,1
10397,84146,ZNF644,84146//ZNF644,chr1,91447866,91487581,CA-84146-3266-4054-4619-42885[INC][1/37][UPT],0,-,cass,0.097643098,0.260042283,-0.162399186,5.62E-17,0.237704918,0.323232323,Down,0.25831202,0.066326531,0.19198549,1.15E-10,0.241877256,0.146596859,Up,1
10456,84284,NTPCR,84284//NTPCR,chr1,233086319,233092188,CA-84284-3121-7933-8096-8723[INC][79/7][UPT],0,+,cass,0.765494137,0.954059157,-0.188565019,6.08E-36,0.590163934,0.474747475,Down,0.719567178,0.962658701,-0.243091523,2.90E-54,0.386281588,0.256544503,Down,1
1,10000,AKT3,10000//AKT3,chr1,243708811,243727149,CA-10000-282865-293641-293856-300987[INC][21/1],0,-,cass,1,1,0,1,0.098360656,0.121212121,None,NA,NA,NA,NA,NA,NA,NA,
2,10000,AKT3,10000//AKT3,chr1,243708811,243716244,CA-10000-293856-299663-299782-300987[INC][1/30],0,-,cass,0,0,0,1,0.090163934,0.104377104,None,NA,NA,NA,NA,NA,NA,NA,
3,10001,MED6,10001//MED6,chr14,71052472,71059704,CA-10001-10788-12286-12402-17884[INC][52/2],0,-,cass,1,1,0,1,0.18852459,0.218855219,None,1,0.98679868,0.01320132,1,0.144404332,0.162303665,None,
4,10005,ACOT8,10005//ACOT8,chr20,44482561,44486009,CA-10005-3222-5117-5251-6425[INC][3/1][UPT],0,-,cass,1,1,0,1,0.073770492,0.148148148,None,NA,NA,NA,NA,NA,NA,NA,
5,10005,ACOT8,10005//ACOT8,chr20,44477088,44486009,CA-10005-3222-5117-5251-11734[INC][123/12][UPT],0,-,cass,0.808943089,0.851183766,-0.042240676,0.537962603,0.090163934,0.168350168,None,0.916913947,0.838565022,0.078348924,0.12906483,0.101083032,0.068062827,None,
6,10005,ACOT8,10005//ACOT8,chr20,44477088,44486009,CA-10005-3222-5117-5199-11734[INC][1/12][UPT],0,-,cass,0.712538226,0.738613861,-0.026075635,0.596997982,0.090163934,0.144781145,None,NA,NA,NA,NA,NA,NA,NA,
7,10005,ACOT8,10005//ACOT8,chr20,44472901,44486009,CA-10005-3222-11734-11960-15989[INC][11/2][UPT],0,-,cass,1,1,0,1,0.114754098,0.138047138,None,NA,NA,NA,NA,NA,NA,NA,
8,10005,ACOT8,10005//ACOT8,chr20,44477088,44483930,CA-10005-5251-6425-6487-11734[INC][3/130],0,-,cass,0.268292683,0.08502994,0.183262743,4.33E-18,0.06557377,0.141414141,Up,NA,NA,NA,NA,NA,NA,NA,
9,10005,ACOT8,10005//ACOT8,chr20,44477088,44483930,CA-10005-5251-6430-6487-11734[INC][1/130],0,-,cass,0.009009009,0.020512821,-0.011503812,1,0.057377049,0.124579125,None,NA,NA,NA,NA,NA,NA,NA,
10,10005,ACOT8,10005//ACOT8,chr20,44470364,44473058,CA-10005-16147-16688-16883-18453[INC][56/4][DNT],0,-,cass,1,0.986767486,0.013232514,1,0.139344262,0.198653199,None,0.981308411,1,-0.018691589,1,0.119133574,0.115183246,None,
11,10006,ABI1,10006//ABI1,chr10,27112066,27149824,CA-10006-3341-28680-28773-40782[INC][5/662][UPT],0,-,cass,0,0.013307985,-0.013307985,1,0.180327869,0.178451178,None,0,0,0,1,0.137184116,0.09947644,None,
12,10006,ABI1,10006//ABI1,chr10,27112066,27149824,CA-10006-3341-24304-24355-40782[INC][3/662][UPT],0,-,cass,0,0,0,1,0.180327869,0.178451178,None,0,0,0,1,0.137184116,0.09947644,None,
